regulator,regulator site,interaction,target,target site,Time,Type,Pearson,Spearman,Weight
AT1G18400,,regulates,AT3G24530,,8hr,TF-Abundance,,,0.801432441
AT1G18400,,regulates,AT3G25600,,8hr,TF-Abundance,,,0.792411627
AT1G18400,,regulates,AT3G57450,,8hr,TF-Abundance,,,0.812445509
AT1G18400,,regulates,AT3G61640,,8hr,TF-Abundance,,,0.799941153
AT1G18400,,regulates,AT4G04570,,8hr,TF-Abundance,,,0.818963845
AT1G18400,,regulates,AT4G30020,,8hr,TF-Abundance,,,0.822160477
AT1G18400,,regulates,AT5G58260,,8hr,TF-Abundance,,,0.785941573
AT1G18570,,regulates,AT1G06160,,8hr,TF-Abundance,,,0.575540637
AT1G18570,,regulates,AT1G14370,,8hr,TF-Abundance,,,0.723222175
AT1G18570,,regulates,AT1G19050,,8hr,TF-Abundance,,,0.94677731
AT1G18570,,regulates,AT1G64065,,8hr,TF-Abundance,,,0.774160169
AT1G18570,,regulates,AT1G66140,,8hr,TF-Abundance,,,0.707845845
AT1G18570,,regulates,AT2G19710,,8hr,TF-Abundance,,,0.700936777
AT1G18570,,regulates,AT2G35930,,8hr,TF-Abundance,,,0.701643179
AT1G18570,,regulates,AT3G16500,,8hr,TF-Abundance,,,0.849899987
AT1G18570,,regulates,AT3G21070,,8hr,TF-Abundance,,,0.721503661
AT1G18570,,regulates,AT3G48520,,8hr,TF-Abundance,,,0.836775109
AT1G18570,,regulates,AT4G08040,,8hr,TF-Abundance,,,0.718565624
AT1G18570,,regulates,AT4G09460,,8hr,TF-Abundance,,,0.808910522
AT1G18570,,regulates,AT4G25780,,8hr,TF-Abundance,,,0.821617311
AT1G18570,,regulates,AT4G26200,,8hr,TF-Abundance,,,0.780544242
AT1G18570,,regulates,AT4G36780,,8hr,TF-Abundance,,,0.754322577
AT1G18570,,regulates,AT5G47980,,8hr,TF-Abundance,,,0.811298266
AT1G18570,,regulates,AT5G55860,,8hr,TF-Abundance,,,0.726904746
AT1G18570,,regulates,AT5G58430,,8hr,TF-Abundance,,,0.8431703
AT1G18570,,regulates,AT5G64220,,8hr,TF-Abundance,,,0.602744459
AT1G18570,,regulates,AT5G65920,,8hr,TF-Abundance,,,0.712703733
AT1G18570,,regulates,AT5G67190,,8hr,TF-Abundance,,,0.728878
