GeneID,dataset
AT1G30720,GTL1_targets
AT1G30730,GTL1_targets
AT1G30740,GTL1_targets
AT1G30757,GTL1_targets
AT1G30820,GTL1_targets
AT1G30825,GTL1_targets
AT1G30845,GTL1_targets
AT1G30900,GTL1_targets
AT1G31070,GTL1_targets
AT1G31120,GTL1_targets
AT1G31140,GTL1_targets
AT1G31173,GTL1_targets
AT1G31230,GTL1_targets
AT1G31290,GTL1_targets
AT1G31320,GTL1_targets
AT1G31335,GTL1_targets
AT1G31350,GTL1_targets
AT1G31360,GTL1_targets
AT1G31480,GTL1_targets
AT1G31670,GTL1_targets
AT1G31720,GTL1_targets
AT1G31772,GTL1_targets
AT1G31812,GTL1_targets
AT1G31910,GTL1_targets
AT1G31930,GTL1_targets
AT1G31940,GTL1_targets
AT1G31950,GTL1_targets
AT1G32060,GTL1_targets
AT1G32080,GTL1_targets
AT1G32090,GTL1_targets
AT1G32120,GTL1_targets
AT1G32170,GTL1_targets
AT1G32190,GTL1_targets
AT1G32220,GTL1_targets
AT1G32230,GTL1_targets
AT1G32300,GTL1_targets
AT1G32310,GTL1_targets
AT1G32330,GTL1_targets
AT1G32360,GTL1_targets
AT1G32410,GTL1_targets
AT1G32420,GTL1_targets
AT1G32460,GTL1_targets
AT1G32490,GTL1_targets
AT1G32580,GTL1_targets
AT1G32610,GTL1_targets
AT1G32620,GTL1_targets
AT1G32640,GTL1_targets
AT1G32690,GTL1_targets
AT1G32700,GTL1_targets
AT1G32710,GTL1_targets
AT1G32780,GTL1_targets
AT1G32790,GTL1_targets
AT1G32920,GTL1_targets
AT1G32928,GTL1_targets
AT1G32940,GTL1_targets
AT1G33050,GTL1_targets
AT1G33060,GTL1_targets
AT1G33070,GTL1_targets
AT1G33240,GTL1_targets
AT1G33260,GTL1_targets
AT1G33420,GTL1_targets
AT1G33530,GTL1_targets
AT1G33560,GTL1_targets
AT1G33600,GTL1_targets
AT1G33710,GTL1_targets
AT1G33750,GTL1_targets
AT1G33770,GTL1_targets
AT1G33800,GTL1_targets
AT1G33810,GTL1_targets
AT1G33840,GTL1_targets
AT1G33980,GTL1_targets
AT1G33990,GTL1_targets
AT1G34040,GTL1_targets
AT1G34070,GTL1_targets
AT1G34200,GTL1_targets
AT1G34245,GTL1_targets
AT1G34320,GTL1_targets
AT1G34370,GTL1_targets
AT1G34420,GTL1_targets
AT1G34430,GTL1_targets
AT1G34560,GTL1_targets
AT1G34750,GTL1_targets
AT1G35160,GTL1_targets
AT1G35330,GTL1_targets
AT1G35430,GTL1_targets
AT1G35560,GTL1_targets
AT1G35580,GTL1_targets
AT1G35614,GTL1_targets
AT1G35670,GTL1_targets
AT1G35780,GTL1_targets
AT1G36050,GTL1_targets
AT1G36060,GTL1_targets
AT1G36160,GTL1_targets
AT1G36380,GTL1_targets
AT1G36622,GTL1_targets
AT1G36730,GTL1_targets
AT1G36940,GTL1_targets
AT1G41830,GTL1_targets
AT1G43000,GTL1_targets
AT1G43010,GTL1_targets
AT1G43160,GTL1_targets
AT1G43700,GTL1_targets
AT1G43920,GTL1_targets
AT1G44020,GTL1_targets
AT1G44050,GTL1_targets
AT1G44160,GTL1_targets
AT1G44170,GTL1_targets
AT1G44318,GTL1_targets
AT1G44350,GTL1_targets
AT1G44790,GTL1_targets
AT1G45015,GTL1_targets
AT1G45145,GTL1_targets
AT1G45201,GTL1_targets
AT1G45248,GTL1_targets
AT1G45249,GTL1_targets
AT1G47128,GTL1_targets
AT1G47230,GTL1_targets
AT1G47390,GTL1_targets
AT1G47400,GTL1_targets
